cnty_fips,percent_inactive,percent_smoking,percent_high_blood_pressure,percent_coronary_heart_disease,percent_stroke,percent_high_cholesterol,FIPS_x,NonVetsDisabilty,FIPS_y,VetsDisabilty
49011,16.7,7.9,25.6,4.5,2.1,30.5,49011,14852.0,49011,1550.0
49013,24.0,13.5,29.7,6.5,3.2,29.4,49013,1327.0,49013,77.0
49015,17.3,11.4,33.0,7.3,3.4,34.1,49015,675.0,49015,30.0
49017,21.7,10.8,34.8,8.3,3.8,36.7,49017,244.0,49017,25.0
49019,18.1,10.9,30.4,7.0,3.3,32.1,49019,530.0,49019,4.0
49021,14.9,11.0,26.8,6.1,3.0,29.7,49021,3022.0,49021,280.0
49023,19.7,11.8,28.7,5.9,2.8,31.8,49023,765.0,49023,67.0
49025,19.5,10.1,34.0,8.0,3.7,35.8,49025,494.0,49025,10.0
49027,21.4,10.8,32.0,7.6,3.5,32.3,49027,689.0,49027,26.0
49029,21.2,8.2,25.7,5.1,2.3,30.7,49029,243.0,49029,23.0
49031,20.5,11.6,37.8,11.0,5.1,38.2,49031,93.0,49031,0.0
49033,21.4,10.3,31.0,7.5,3.4,32.9,49033,174.0,49033,12.0
49035,17.6,9.2,25.3,4.8,2.3,27.5,49035,56754.0,49035,3342.0
49037,19.5,15.1,35.0,8.3,4.6,30.9,49037,1369.0,49037,68.0
49039,20.7,10.9,27.0,6.4,3.1,28.8,49039,1364.0,49039,64.0
49041,19.6,11.3,33.0,7.3,3.4,34.6,49041,1570.0,49041,91.0
49043,13.0,7.0,22.9,5.0,2.2,30.3,49043,1377.0,49043,57.0
49045,23.0,11.5,26.7,4.8,2.3,28.2,49045,3921.0,49045,443.0
49047,21.4,14.1,29.3,6.7,3.2,32.5,49047,2582.0,49047,241.0
49049,16.6,6.3,20.4,4.0,1.9,24.7,49049,28132.0,49049,1536.0
49051,15.9,8.0,26.3,5.1,2.3,29.2,49051,1267.0,49051,18.0
49053,15.9,8.4,31.4,7.2,3.4,33.1,49053,8498.0,49053,433.0
49055,17.7,10.4,32.8,8.1,3.7,35.3,49055,142.0,49055,5.0
49057,19.6,10.6,26.6,5.3,2.5,28.9,49057,15546.0,49057,1370.0
56003,23.4,17.5,35.3,8.4,3.7,32.0,56003,546.0,56003,102.0
56007,24.1,19.6,32.8,7.1,3.3,30.8,56007,646.0,56007,75.0
56013,23.6,20.8,29.4,7.7,3.7,30.4,56013,2622.0,56013,279.0
56017,21.8,17.9,38.7,9.5,4.3,36.1,56017,371.0,56017,14.0
56023,21.3,17.3,32.4,7.1,3.2,33.6,56023,1045.0,56023,28.0
56025,22.5,20.0,30.8,6.2,2.8,30.9,56025,5381.0,56025,742.0
56029,20.4,14.6,31.6,7.3,3.2,31.6,56029,1399.0,56029,165.0
56035,18.5,15.9,31.7,7.0,3.1,31.0,56035,474.0,56035,137.0
56037,21.4,17.5,27.0,5.7,2.7,27.8,56037,3672.0,56037,437.0
56039,12.0,12.2,25.1,5.1,2.2,27.6,56039,705.0,56039,65.0
56041,23.8,18.6,31.7,6.7,3.0,30.6,56041,1553.0,56041,108.0
56043,19.8,16.7,32.5,7.9,3.7,32.1,56043,353.0,56043,34.0
22031,23.9,22.6,43.5,9.1,4.9,38.6,22031,2568.0,22031,166.0
48001,21.9,22.4,37.7,7.5,3.7,34.2,48001,3788.0,48001,387.0
48005,31.9,21.2,39.9,8.5,4.1,36.7,48005,7720.0,48005,804.0
48007,28.9,18.9,42.7,10.7,4.7,41.4,48007,1508.0,48007,104.0
48013,19.2,16.7,33.7,7.0,3.1,35.2,48013,1947.0,48013,398.0
48015,23.0,17.0,35.5,8.4,3.8,35.9,48015,1788.0,48015,98.0
48019,20.0,16.9,41.3,10.0,4.3,40.9,48019,1473.0,48019,277.0
48021,24.7,18.2,33.2,7.2,3.2,35.4,48021,4896.0,48021,730.0
48025,18.8,19.5,33.3,6.8,3.2,33.0,48025,1594.0,48025,168.0
48027,20.2,17.6,30.9,5.8,2.9,29.7,48027,20159.0,48027,9280.0
48029,21.1,14.5,32.5,6.1,2.8,32.2,48029,130926.0,48029,20630.0
48031,18.9,15.7,38.6,8.9,3.7,40.0,48031,622.0,48031,95.0
48035,19.8,18.0,40.4,9.8,4.3,39.3,48035,1186.0,48035,211.0
48039,26.1,15.8,31.8,5.7,2.7,31.5,48039,13933.0,48039,1432.0
48041,20.4,15.3,26.1,4.8,2.4,27.2,48041,9795.0,48041,605.0
48043,19.3,14.4,35.6,8.3,3.6,36.5,48043,701.0,48043,29.0
48047,19.4,18.5,40.1,9.7,4.5,38.3,48047,668.0,48047,35.0
48049,19.3,18.2,37.1,8.4,3.7,37.4,48049,3250.0,48049,364.0
48051,19.0,17.9,38.4,8.5,3.9,37.8,48051,1016.0,48051,98.0
48053,20.1,17.2,36.8,8.6,3.7,37.4,48053,3537.0,48053,330.0
48055,21.3,18.6,34.7,7.2,3.4,34.6,48055,2856.0,48055,390.0
48057,25.1,16.4,36.9,7.8,3.4,35.2,48057,1530.0,48057,169.0
48061,26.6,16.3,33.5,7.6,3.7,34.8,48061,21068.0,48061,1403.0
48071,21.2,17.6,31.7,6.0,2.8,32.6,48071,1909.0,48071,278.0
48073,23.5,20.6,37.6,8.6,4.2,37.0,48073,2418.0,48073,196.0
48081,19.3,17.6,40.5,9.9,4.3,40.0,48081,198.0,48081,9.0
48083,20.6,18.6,41.1,10.1,4.4,40.3,48083,696.0,48083,70.0
48089,25.6,17.8,38.1,9.2,4.2,35.9,48089,799.0,48089,0.0
48091,20.3,13.6,31.9,6.7,2.9,34.7,48091,9515.0,48091,2015.0
48093,19.6,17.2,37.6,9.2,4.0,38.2,48093,887.0,48093,74.0
48095,19.3,19.8,40.6,10.9,4.8,40.2,48095,126.0,48095,9.0
48099,22.5,19.5,29.9,5.3,2.7,29.4,48099,4555.0,48099,2286.0
48103,19.4,15.9,30.9,6.0,2.7,33.2,48103,56.0,48103,50.0
48105,19.3,17.5,35.5,8.3,3.7,36.8,48105,116.0,48105,0.0
48109,19.6,20.0,42.9,10.2,4.8,40.9,48109,157.0,48109,52.0
48123,20.9,20.2,38.6,9.0,4.2,37.1,48123,1254.0,48123,96.0
48127,19.4,20.7,39.5,10.0,4.8,37.7,48127,770.0,48127,37.0
48131,18.9,15.9,37.5,8.1,3.6,37.3,48131,967.0,48131,31.0
48135,22.4,17.4,28.5,5.6,2.6,30.1,48135,6367.0,48135,559.0
48137,19.3,19.1,42.7,12.4,5.5,41.5,48137,58.0,48137,0.0
48141,21.9,14.4,31.4,6.2,2.9,31.6,48141,47771.0,48141,6244.0
48145,20.2,22.5,39.8,9.1,4.7,36.1,48145,1435.0,48145,169.0
48149,19.5,16.6,38.5,9.4,4.1,37.8,48149,1542.0,48149,135.0
48157,20.9,13.0,31.9,4.9,2.4,34.2,48157,24594.0,48157,2255.0
48161,19.6,21.1,40.6,9.1,4.4,38.0,48161,1450.0,48161,88.0
48163,19.1,18.2,32.1,6.3,2.9,32.5,48163,733.0,48163,23.0
48167,27.1,16.3,35.0,6.4,3.0,34.0,48167,18867.0,48167,2026.0
48171,19.2,13.9,38.8,9.3,3.8,39.5,48171,1262.0,48171,31.0
48173,19.5,19.9,34.2,8.0,3.6,35.0,48173,58.0,48173,0.0
48175,21.5,17.8,38.9,9.3,4.1,38.9,48175,427.0,48175,26.0
48177,18.8,18.9,36.2,8.3,3.8,36.1,48177,1494.0,48177,51.0
48185,19.9,21.1,38.8,8.7,4.2,37.6,48185,1515.0,48185,58.0
48187,19.9,15.8,30.8,6.1,2.8,32.4,48187,8603.0,48187,2597.0
48193,18.9,19.4,40.6,10.2,4.5,39.9,48193,774.0,48193,57.0
48199,27.8,19.9,37.6,7.7,3.5,37.1,48199,4328.0,48199,354.0
48201,20.8,16.1,30.7,5.6,2.9,34.1,48201,222980.0,48201,13557.0
48209,16.9,14.4,25.8,5.1,2.3,30.5,48209,11375.0,48209,1656.0
48215,27.1,16.4,33.5,7.0,3.4,32.0,48215,47188.0,48215,2053.0
48217,20.6,18.7,37.9,8.8,3.9,37.4,48217,2746.0,48217,297.0
48225,23.6,22.4,44.1,10.5,5.3,38.4,48225,1880.0,48225,158.0
48229,18.9,22.0,36.4,8.3,3.9,35.4,48229,360.0,48229,57.0
48235,19.2,16.1,37.4,8.3,3.5,38.3,48235,107.0,48235,0.0
48239,22.0,18.4,36.9,8.2,3.7,36.1,48239,933.0,48239,167.0
48241,23.9,23.4,41.9,9.9,4.8,38.4,48241,2290.0,48241,103.0
48243,19.2,17.9,42.7,12.3,5.4,42.2,48243,69.0,48243,0.0
48245,29.9,19.8,39.4,7.3,3.9,33.3,48245,16914.0,48245,1623.0
48247,19.1,17.5,38.6,8.9,4.0,37.8,48247,346.0,48247,0.0
48249,18.7,16.5,35.4,7.7,3.4,35.9,48249,2933.0,48249,274.0
48255,19.3,18.9,32.2,7.1,3.3,32.4,48255,483.0,48255,102.0
48259,17.5,12.9,32.7,6.9,2.9,35.6,48259,1466.0,48259,249.0
48261,19.1,5.2,40.9,6.4,2.4,39.8,48261,0.0,48261,0.0
48265,19.1,15.5,37.9,9.5,4.0,39.2,48265,3042.0,48265,276.0
48267,19.0,18.5,42.7,11.3,5.0,41.0,48267,257.0,48267,39.0
48271,19.2,16.4,39.2,10.1,4.4,37.6,48271,190.0,48271,298.0
48273,19.3,14.6,30.1,6.3,2.9,31.4,48273,1618.0,48273,338.0
48281,19.6,17.9,37.3,8.3,3.7,37.7,48281,1660.0,48281,844.0
48283,19.2,16.4,29.5,6.2,2.8,31.3,48283,174.0,48283,25.0
48285,19.4,18.3,39.1,9.3,4.1,38.4,48285,810.0,48285,27.0
48287,19.6,20.2,37.2,8.7,4.1,36.5,48287,973.0,48287,81.0
48289,20.2,21.3,42.4,10.7,5.0,40.1,48289,1114.0,48289,142.0
48291,28.3,22.5,35.5,7.3,3.6,34.4,48291,6079.0,48291,805.0
48293,20.3,20.6,39.8,9.1,4.4,37.1,48293,1617.0,48293,213.0
48297,21.1,21.3,37.8,10.0,4.5,37.2,48297,750.0,48297,91.0
48299,18.5,16.1,45.9,11.6,4.9,43.9,48299,1507.0,48299,199.0
48301,19.5,15.7,34.8,5.0,2.1,35.6,48301,0.0,48301,0.0
48307,19.6,18.7,38.9,9.5,4.2,38.3,48307,682.0,48307,47.0
48309,23.6,17.7,33.4,7.0,3.4,33.4,48309,13824.0,48309,2014.0
48311,19.3,17.4,38.0,10.6,4.6,38.5,48311,84.0,48311,0.0
48313,20.2,19.5,33.8,6.9,3.3,32.5,48313,992.0,48313,101.0
48319,19.7,14.0,39.9,9.4,3.9,40.0,48319,165.0,48319,0.0
48321,26.5,18.7,37.2,8.4,4.0,35.9,48321,2702.0,48321,64.0
48323,19.6,16.3,34.1,6.9,3.3,34.4,48323,3266.0,48323,118.0
48325,20.5,15.5,34.3,7.1,3.1,35.7,48325,3843.0,48325,454.0
48327,19.7,14.5,43.4,10.5,4.4,41.8,48327,179.0,48327,0.0
48329,21.0,15.8,27.7,5.1,2.4,30.4,48329,7676.0,48329,615.0
48331,22.5,19.5,39.3,9.3,4.3,37.9,48331,1545.0,48331,130.0
48333,19.0,17.7,41.6,10.3,4.4,41.4,48333,291.0,48333,13.0
48339,23.0,15.8,31.1,6.0,2.7,34.7,48339,24622.0,48339,3046.0
48347,25.6,18.8,33.4,7.4,3.7,32.7,48347,5104.0,48347,333.0
48349,22.1,20.0,37.5,8.4,4.1,36.9,48349,3874.0,48349,502.0
48351,22.3,24.9,43.8,10.5,5.3,38.1,48351,850.0,48351,39.0
48355,25.5,17.0,34.0,6.9,3.1,33.1,48355,19344.0,48355,2394.0
48361,27.9,19.8,36.7,7.5,3.5,34.8,48361,6934.0,48361,434.0
48371,19.5,18.6,33.6,7.0,3.2,34.3,48371,467.0,48371,21.0
48373,31.1,24.2,42.0,9.3,4.1,40.9,48373,5145.0,48373,455.0
48377,19.3,21.7,45.2,13.4,6.5,41.9,48377,336.0,48377,0.0
48383,19.4,16.6,30.7,6.3,2.8,32.4,48383,58.0,48383,0.0
48385,19.3,19.6,45.6,12.4,5.5,42.4,48385,225.0,48385,51.0
48389,19.7,18.8,31.4,6.2,2.9,32.3,48389,697.0,48389,20.0
